Sigma Gauss	Esperanza Poisson	Límite de integración ePix 
 [e]	 [e/pxl]	 [e] 
0.213	0.00495008	0.71
0.213	0.00470461	0.712
0.213	0.00447127	0.714
0.213	0.00424946	0.716
0.213	0.00403862	0.718
0.213	0.00383821	0.72
0.213	0.00364771	0.722
0.213	0.00346663	0.724
0.213	0.0032945	0.726
0.213	0.0031309	0.728
0.213	0.00297539	0.73
0.213	0.00282757	0.732
0.213	0.00268707	0.734
0.213	0.00255353	0.736
0.213	0.0024266	0.738
0.213	0.00230596	0.74
0.213	0.00219129	0.742
0.213	0.0020823	0.744
0.213	0.00197871	0.746
0.213	0.00188026	0.748
0.213	0.00178668	0.75
0.213	0.00169774	0.752
0.213	0.00161321	0.754
0.213	0.00153288	0.756
0.213	0.00145653	0.758
0.213	0.00138396	0.76
0.213	0.001315	0.762
0.213	0.00124945	0.764
0.213	0.00118716	0.766
0.213	0.00112797	0.768
0.213	0.00107171	0.77
0.213	0.00101824	0.772
0.213	0.000967435	0.774
0.213	0.00091915	0.776
0.213	0.000873265	0.778
0.213	0.000829659	0.78
0.213	0.000788222	0.782
0.213	0.000748844	0.784
0.213	0.000711425	0.786
0.213	0.000675866	0.788
0.213	0.000642077	0.79
0.213	0.000609969	0.792
0.213	0.000579459	0.794
0.213	0.000550467	0.796
0.213	0.000522919	0.798
0.213	0.000496743	0.8
0.213	0.000471871	0.802
0.215	0.371	0.54
0.215	0.353051	0.542
0.215	0.33597	0.544
0.215	0.319715	0.546
0.215	0.304246	0.548
0.215	0.289525	0.55
0.215	0.275515	0.552
0.215	0.262183	0.554
0.215	0.249496	0.556
0.215	0.237422	0.558
0.215	0.225932	0.56
0.215	0.214997	0.562
0.215	0.204591	0.564
0.215	0.194688	0.566
0.215	0.185264	0.568
0.215	0.176296	0.57
0.215	0.167762	0.572
0.215	0.15964	0.574
0.215	0.151911	0.576
0.215	0.144555	0.578
0.215	0.137556	0.58
0.215	0.130895	0.582
0.215	0.124556	0.584
0.215	0.118523	0.586
0.215	0.112783	0.588
0.215	0.10732	0.59
0.215	0.102121	0.592
0.215	0.0971743	0.594
0.215	0.0924664	0.596
0.215	0.0879863	0.598
0.215	0.083723	0.6
0.215	0.0796659	0.602
0.215	0.0758051	0.604
0.215	0.0721312	0.606
0.215	0.068635	0.608
0.215	0.0653079	0.61
0.215	0.0621419	0.612
0.215	0.0591291	0.614
0.215	0.0562622	0.616
0.215	0.053534	0.618
0.215	0.0509378	0.62
0.215	0.0484673	0.622
0.215	0.0461164	0.624
0.215	0.0438794	0.626
0.215	0.0417506	0.628
0.215	0.0397249	0.63
0.215	0.0377973	0.632
0.215	0.0359631	0.634
0.215	0.0342176	0.636
0.215	0.0325567	0.638
0.215	0.0309763	0.64
0.215	0.0294724	0.642
0.215	0.0280414	0.644
0.215	0.0266797	0.646
0.215	0.025384	0.648
0.215	0.024151	0.65
0.215	0.0229778	0.652
0.215	0.0218615	0.654
0.215	0.0207993	0.656
0.215	0.0197885	0.658
0.215	0.0188268	0.66
0.215	0.0179117	0.662
0.215	0.0170409	0.664
0.215	0.0162124	0.666
0.215	0.015424	0.668
0.215	0.0146739	0.67
0.215	0.0139602	0.672
0.215	0.0132811	0.674
0.215	0.0126349	0.676
0.215	0.0120201	0.678
0.215	0.0114352	0.68
